	line_AVF	page
3365379403284	0.07955252	52584053176.0
2182056918100	0.08010987	34094639345.0
2182056916500	0.08070857	34094639320.0
2182056917437	0.08084519	34094639334.0
3365379403680	0.081729665	52584053182.0
3365379404408	0.08220283	52584053193.0
888014467658	0.082559325	13875226057.0
2182056917777	0.08291251	34094639340.0
2182056918410	0.08383789	34094639350.0
3365379403590	0.083975375	52584053181.0
3365379404327	0.08530219	52584053192.0
2182056916114	0.0854306	34094639314.0
2182056918402	0.08734812	34094639350.0
2182056918400	0.08847076	34094639350.0
2182056917215	0.09165503	34094639331.0
888014466205	0.091962986	13875226034.0
888014468061	0.09270529	13875226063.0
888014466190	0.09273799	13875226034.0
888014468125	0.09314194	13875226064.0
2182056918144	0.09363557	34094639346.0
888014466207	0.09378299	13875226034.0
2182056916889	0.0948192	34094639326.0
1592635365035	0.09780456	24884927578.0
1592635367149	0.099382795	24884927611.0
2182056915316	0.09940296	34094639301.0
1592635364023	0.100200646	24884927562.0
888014468189	0.10029276	13875226065.0
1592635364121	0.103648074	24884927564.0
3365379404196	0.10373947	52584053190.0
2182056916728	0.1039144	34094639323.0
3365379403972	0.10394703	52584053187.0
2182056917434	0.106125906	34094639334.0
3365379403429	0.10804537	52584053178.0
3365379403979	0.10890629	52584053187.0
3365379404491	0.10917787	52584053195.0
3365379403937	0.1099034	52584053186.0
2182056914580	0.1113901	34094639290.0
2182056914853	0.11196755	34094639294.0
2182056917290	0.11238771	34094639332.0
3365379403808	0.11304993	52584053184.0
2182056915862	0.11425698	34094639310.0
888014468229	0.11441945	13875226066.0
2182056916666	0.114861295	34094639322.0
3365379404120	0.114927195	52584053189.0
3365379404370	0.115074396	52584053193.0
2182056917433	0.115112714	34094639334.0
1046780787600	0.116800345	16355949806.0
2182056916485	0.11724629	34094639320.0
3365379403526	0.117501244	52584053180.0
3365379403425	0.11773177	52584053178.0
3365379403849	0.11788849	52584053185.0
3365379403280	0.11832147	52584053176.0
888014468293	0.1183618	13875226067.0
2182056915984	0.1185358	34094639312.0
2182056914871	0.118870616	34094639294.0
3365379403257	0.118979655	52584053175.0
3365379403809	0.11913025	52584053184.0
3365379403749	0.11928444	52584053183.0
1046780787728	0.119450375	16355949808.0
888014468368	0.11967256	13875226068.0
3365379403639	0.119805	52584053181.0
888014468421	0.12056567	13875226069.0
3365379403621	0.1206351	52584053181.0
3365379403785	0.12102314	52584053184.0
2182056916052	0.12120852	34094639313.0
3365379403856	0.121622555	52584053185.0
3365379403538	0.12181168	52584053180.0
3365379403905	0.12197286	52584053186.0
3365379403467	0.12200649	52584053179.0
3365379403483	0.12205424	52584053179.0
3365379404331	0.122254744	52584053192.0
888014468500	0.122512504	13875226070.0
2182056915541	0.123941004	34094639305.0
3365379403249	0.12397716	52584053175.0
2182056917573	0.124668404	34094639337.0
888014467461	0.12495684	13875226054.0
888014468549	0.12500063	13875226071.0
3365379404238	0.12648164	52584053191.0
2182056917681	0.12677585	34094639338.0
2182056914640	0.12682532	34094639291.0
2182056915349	0.12697655	34094639302.0
3365379403462	0.12716071	52584053179.0
2182056914821	0.12763913	34094639294.0
2182056914635	0.12849897	34094639291.0
2182056917029	0.12900124	34094639328.0
2182056916885	0.12922752	34094639326.0
2182056917013	0.12969105	34094639328.0
888014468613	0.13013843	13875226072.0
888014465808	0.13041995	13875226028.0
3365379403771	0.13056897	52584053183.0
888014468722	0.13223384	13875226073.0
888014468432	0.13255145	13875226069.0
2182056914643	0.1339806	34094639291.0
3365379403264	0.13435711	52584053176.0
2182056914634	0.13454883	34094639291.0
2182056917793	0.135702	34094639340.0
2182056914651	0.13651547	34094639291.0
3365379404107	0.13675666	52584053189.0
3365379404184	0.13759497	52584053190.0
2182056918351	0.13844804	34094639349.0
2182056917213	0.13856766	34094639331.0
2182056917429	0.13940027	34094639334.0
888014468751	0.1396028	13875226074.0
3365379403936	0.13965264	52584053186.0
2182056917070	0.140367	34094639329.0
