,access#,line_AVF_average,line_AVF_std
16355950071.0,17.0,0.24447577,0.018339304
16355950264.0,64.0,0.0,0.0
51624359289.0,64.0,0.055164427,7.558728e-05
16355950297.0,64.0,0.0,0.0
51624359290.0,64.0,0.055416197,7.554771e-05
16355950266.0,64.0,0.0,0.0
51624359291.0,64.0,0.05566828,7.431183e-05
16355950267.0,64.0,0.0,0.0
51624359292.0,64.0,0.055920683,7.3440926e-05
51624359293.0,64.0,0.056169845,7.560839e-05
16355950269.0,64.0,0.0,0.0
51624359294.0,64.0,0.05641984,7.480203e-05
51624359295.0,64.0,0.056671597,7.6375814e-05
16355950271.0,64.0,0.0,0.0
51624359296.0,64.0,0.056923073,7.517244e-05
16355950272.0,64.0,0.0,0.0
51624359297.0,64.0,0.05717643,7.55551e-05
16355950273.0,64.0,0.0,0.0
51624359298.0,64.0,0.057428002,7.560822e-05
16355950274.0,64.0,0.0,0.0
51624359299.0,64.0,0.057680745,7.558715e-05
16355950275.0,64.0,0.0,0.0
51624359300.0,64.0,0.057932515,7.554776e-05
16355950276.0,64.0,0.0,0.0
51624359301.0,64.0,0.05818445,7.4189586e-05
16355950277.0,64.0,0.0,0.0
51624359302.0,64.0,0.058437806,7.440247e-05
16355950310.0,64.0,0.0,0.0
51624359303.0,64.0,0.058689747,7.5472126e-05
16355950311.0,64.0,0.0,0.0
51624359304.0,64.0,0.058943268,7.511117e-05
13875226056.0,64.0,0.0,0.0
51624359305.0,64.0,0.05919513,7.577518e-05
16355950281.0,64.0,0.0,0.0
51624359306.0,64.0,0.059446927,7.5029195e-05
16355950282.0,64.0,0.0,0.0
51624359307.0,64.0,0.059699643,7.441513e-05
16355950283.0,64.0,0.0,0.0
51624359308.0,64.0,0.059952244,7.543343e-05
16355950316.0,64.0,0.0,0.0
51624359309.0,64.0,0.060203675,7.560827e-05
16355950285.0,64.0,0.0,0.0
51624359310.0,64.0,0.060456414,7.558726e-05
16355950318.0,64.0,0.0,0.0
51624359311.0,64.0,0.06070947,7.824191e-05
16355950287.0,64.0,0.0,0.0
51624359312.0,64.0,0.060958833,7.578972e-05
16355950288.0,64.0,0.0,0.0
51624359313.0,64.0,0.061213616,7.4524876e-05
16355950257.0,64.0,0.0,0.0
51624359314.0,64.0,0.061465036,7.491259e-05
16355950258.0,64.0,0.0,0.0
51624359315.0,64.0,0.061717916,7.511092e-05
16355950291.0,64.0,0.0,0.0
51624359316.0,64.0,0.06196994,7.589384e-05
16355950292.0,64.0,0.0,0.0
51624359317.0,64.0,0.062221855,7.502936e-05
